sample	context	mcontext
dalmatianDog	generalOrUnknown	generalOrUnknown
dalmatianDog	generalOrUnknown	generalOrUnknown
dalmatianDog	generalOrUnknown	generalOrUnknown
dalmatianDog	generalOrUnknown	generalOrUnknown
dalmatianDog	generalOrUnknown	generalOrUnknown
dalmatianDog	generalOrUnknown	generalOrUnknown
december	generalOrUnknown	generalOrUnknown
december	generalOrUnknown	generalOrUnknown
december	generalOrUnknown	generalOrUnknown
december	generalOrUnknown	generalOrUnknown
december	generalOrUnknown	generalOrUnknown
december	generalOrUnknown	generalOrUnknown
doubleHeadedEagle	generalOrUnknown	generalOrUnknown
doubleHeadedEagle	generalOrUnknown	generalOrUnknown
doubleHeadedEagle	generalOrUnknown	generalOrUnknown
doubleHeadedEagle	generalOrUnknown	generalOrUnknown
doubleHeadedEagle	generalOrUnknown	generalOrUnknown
doubleHeadedEagle	generalOrUnknown	generalOrUnknown
doubleHeadedEagle	generalOrUnknown	generalOrUnknown
doubleHeadedEagle	generalOrUnknown	generalOrUnknown
doubleHeadedEagle	generalOrUnknown	generalOrUnknown
doubleHeadedEagle	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	
eagle	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
eagleHoldingAThunderbolt	generalOrUnknown	generalOrUnknown
eagleHoldingAThunderbolt	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
		generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
eaglesScream	generalOrUnknown	generalOrUnknown
eaglesScream	generalOrUnknown	generalOrUnknown
eaglesScream	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
eagle	generalOrUnknown	generalOrUnknown
headOfAnEagle	generalOrUnknown	generalOrUnknown
honeycomb	generalOrUnknown	generalOrUnknown
honeycomb	grecoRoman	grecoRoman
honeycomb	generalOrUnknown	generalOrUnknown
honeycomb	christian	christian
honeycomb	generalOrUnknown	generalOrUnknown
snowdrop	christian	christian
snowdrop	generalOrUnknown	generalOrUnknown
snowdrop	flowerLanguage	flowerLanguage
snowdrop	generalOrUnknown	generalOrUnknown
snowdrop	generalOrUnknown	generalOrUnknown
snowdrop	generalOrUnknown	generalOrUnknown
snowdrop	flowerLanguage	flowerLanguage
snowdrop	generalOrUnknown	generalOrUnknown
snowdrop	generalOrUnknown	generalOrUnknown
snowdrop	generalOrUnknown	generalOrUnknown
snowdrop	christian	christian
south	tungun	tungun
south	egyptian	egyptian
south	dogon	dogon
south	generalOrUnknown	generalOrUnknown
south	bambaran	bambaran
south	generalOrUnknown	generalOrUnknown
south	mexicanIndian	mexicanIndian
south	mongolian	mongolian
south	tungun	tungun
south	egyptian	egyptian
south	mexicanIndian	mexicanIndian
south		mexicanIndian
south	bambaran	bambaran
south	generalOrUnknown	generalOrUnknown
south	generalOrUnknown	generalOrUnknown
south	generalOrUnknown	generalOrUnknown
south	generalOrUnknown	generalOrUnknown
south	indic	indic
south	dogon	dogon
south	christian	christian
south	bambaran	bambaran
south	mexicanIndian	mexicanIndian
south	buddhist	buddhist
south	egyptian	egyptian
south	generalOrUnknown	generalOrUnknown
south	generalOrUnknown	generalOrUnknown
south	generalOrUnknown	generalOrUnknown
south	generalOrUnknown	generalOrUnknown
south	egyptian	egyptian
south	indic	
south	egyptian	
south	indic	indic
south	generalOrUnknown	generalOrUnknown
south	generalOrUnknown	generalOrUnknown
south	generalOrUnknown	generalOrUnknown
south	mexicanIndian	mexicanIndian
south	christian	christian
south	christian	christian
south	mexicanIndian	mexicanIndian
south	generalOrUnknown	generalOrUnknown
south	generalOrUnknown	generalOrUnknown
south	generalOrUnknown	generalOrUnknown
spain	generalOrUnknown	generalOrUnknown
spain	celtic	celtic
spain	greek	greek
spain	roman	roman
sponge	generalOrUnknown	generalOrUnknown
sponge	generalOrUnknown	generalOrUnknown
sponge	generalOrUnknown	generalOrUnknown
whiteEagle	generalOrUnknown	generalOrUnknown
		
